Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
00000_00000.ppm;26;28;6;6;21;22;3
00000_00001.ppm;26;27;5;5;21;21;3
00000_00002.ppm;27;28;6;6;22;23;3
00000_00003.ppm;28;29;6;6;23;24;3
00000_00004.ppm;27;28;5;6;22;23;3
00000_00005.ppm;28;29;5;6;23;24;3
00000_00006.ppm;30;30;6;6;24;24;3
00000_00007.ppm;30;29;6;5;25;24;3
00000_00008.ppm;30;30;6;5;25;24;3
00000_00009.ppm;31;32;5;6;25;26;3
00000_00010.ppm;31;31;5;5;26;26;3
00000_00011.ppm;33;32;6;5;28;27;3
00000_00012.ppm;35;34;6;5;30;29;3
00000_00013.ppm;36;35;6;5;31;30;3
00000_00014.ppm;38;37;6;5;33;32;3
00000_00015.ppm;39;38;6;5;34;33;3
00000_00016.ppm;40;39;6;5;34;34;3
00000_00017.ppm;41;40;6;5;35;35;3
00000_00018.ppm;41;42;5;5;36;37;3
00000_00019.ppm;43;45;5;6;38;39;3
00000_00020.ppm;46;47;5;6;41;42;3
00000_00021.ppm;48;49;5;5;42;43;3
00000_00022.ppm;49;51;5;5;44;46;3
00000_00023.ppm;52;52;6;6;47;47;3
00000_00024.ppm;55;57;5;6;50;52;3
00000_00025.ppm;61;62;6;6;56;57;3
00000_00026.ppm;65;68;5;6;59;62;3
00000_00027.ppm;73;75;6;6;67;69;3
00000_00028.ppm;85;88;7;8;78;81;3
00000_00029.ppm;97;99;9;9;89;90;3
00001_00000.ppm;28;28;5;5;23;23;3
00001_00001.ppm;28;28;5;5;23;23;3
00001_00002.ppm;29;28;6;5;24;23;3
00001_00003.ppm;30;30;5;6;24;25;3
00001_00004.ppm;31;30;6;5;26;25;3
00001_00005.ppm;31;31;5;5;25;25;3
00001_00006.ppm;32;31;6;5;27;26;3
00001_00007.ppm;31;31;5;5;26;26;3
00001_00008.ppm;32;33;6;6;27;27;3
00001_00009.ppm;33;33;6;6;28;28;3
00001_00010.ppm;34;34;6;6;29;29;3
00001_00011.ppm;34;34;6;6;29;29;3
00001_00012.ppm;33;33;5;5;28;28;3
00001_00013.ppm;35;34;6;6;29;29;3
00001_00014.ppm;36;36;6;6;30;30;3
00001_00015.ppm;37;37;6;6;32;32;3
00001_00016.ppm;38;38;6;6;32;32;3
00001_00017.ppm;38;38;5;5;33;33;3
00001_00018.ppm;39;40;6;6;34;34;3
00001_00019.ppm;39;40;5;6;34;35;3
00001_00020.ppm;40;40;5;5;35;35;3
00001_00021.ppm;43;42;6;5;38;37;3
00001_00022.ppm;43;44;5;6;38;39;3
00001_00023.ppm;46;45;6;6;40;40;3
00001_00024.ppm;46;47;5;6;41;42;3
00001_00025.ppm;48;47;6;5;43;42;3
00001_00026.ppm;49;50;5;6;44;44;3
00001_00027.ppm;50;51;5;6;45;46;3
00001_00028.ppm;53;53;6;5;48;47;3
00001_00029.ppm;53;55;5;5;48;49;3
00002_00000.ppm;30;29;6;5;25;24;3
00002_00001.ppm;31;30;6;5;26;25;3
00002_00002.ppm;31;31;5;6;25;26;3
00002_00003.ppm;31;31;5;5;26;26;3
00002_00004.ppm;32;33;6;6;27;27;3
00002_00005.ppm;32;33;5;6;26;27;3
00002_00006.ppm;33;32;6;5;28;27;3
00002_00007.ppm;32;34;5;6;27;28;3
00002_00008.ppm;34;35;6;6;29;29;3
00002_00009.ppm;34;35;5;5;29;30;3
00002_00010.ppm;35;36;6;5;30;30;3
00002_00011.ppm;34;36;5;5;29;31;3
00002_00012.ppm;35;37;5;5;30;32;3
00002_00013.ppm;37;38;6;5;32;32;3
00002_00014.ppm;38;39;5;5;33;34;3
00002_00015.ppm;39;40;5;5;33;34;3
00002_00016.ppm;41;41;6;5;36;36;3
00002_00017.ppm;42;43;6;5;37;38;3
00002_00018.ppm;42;44;5;5;37;39;3
00002_00019.ppm;44;47;5;6;39;42;3
00002_00020.ppm;46;49;5;6;41;44;3
00002_00021.ppm;47;50;5;6;42;45;3
00002_00022.ppm;50;52;6;6;45;47;3
00002_00023.ppm;51;55;5;6;46;50;3
00002_00024.ppm;53;57;5;6;48;52;3
00002_00025.ppm;58;62;6;6;53;56;3
00002_00026.ppm;59;64;5;6;54;58;3
00002_00027.ppm;64;70;6;7;59;64;3
00002_00028.ppm;69;74;6;7;63;68;3
00002_00029.ppm;73;79;7;7;67;72;3
00003_00000.ppm;30;31;5;6;25;26;3
00003_00001.ppm;31;30;6;5;26;25;3
00003_00002.ppm;31;32;5;6;26;27;3
00003_00003.ppm;33;33;5;6;27;28;3
00003_00004.ppm;33;33;5;5;27;27;3
00003_00005.ppm;33;33;5;5;28;28;3
00003_00006.ppm;34;35;5;6;28;29;3
00003_00007.ppm;35;35;5;5;29;30;3
00003_00008.ppm;35;37;5;6;30;32;3
00003_00009.ppm;37;37;6;5;31;31;3
00003_00010.ppm;37;37;6;5;32;32;3
00003_00011.ppm;37;37;5;5;31;32;3
00003_00012.ppm;39;38;6;5;33;32;3
00003_00013.ppm;39;38;6;5;34;33;3
00003_00014.ppm;40;39;6;6;34;34;3
00003_00015.ppm;39;39;5;5;34;34;3
00003_00016.ppm;41;40;6;6;35;35;3
00003_00017.ppm;41;40;5;5;35;35;3
00003_00018.ppm;43;42;6;5;38;37;3
00003_00019.ppm;43;43;5;5;38;38;3
00003_00020.ppm;45;45;6;6;40;40;3
00003_00021.ppm;45;45;5;5;40;40;3
00003_00022.ppm;46;47;5;6;41;42;3
00003_00023.ppm;49;48;6;5;44;42;3
00003_00024.ppm;50;49;6;5;45;44;3
00003_00025.ppm;49;51;5;6;44;45;3
